Code THESEUS;Désignation THESEUS;Code SAP retenu;Désignation SAP (= Code THESEUS);
1 LOGEMENT;;1 LOGEMENT;1 LOGEMENT;
3 SUISSES;;3 SUISSES;3 SUISSES;
3M FRANCE;;3M FRANCE;3M FRANCE;
AB VOLVO;;AB VOLVO;AB VOLVO;
ABB;;ABB;ABB;
ABOTT FOURNIER;;ABOTT FOUR;ABOTT FOURNIER;
ACCENTURE;;ACCENTURE;ACCENTURE;
ACCIONA;;ACCIONA;ACCIONA;
ACCOR;;ACCOR;ACCOR;
ACOSS;;ACOSS;ACOSS;
ADEO;;ADEO;ADEO;
ADMIN AEROPORTUAIRES;;ADMIN AERO;ADMIN AEROPORTUAIRES;
ADMIN PORTUAIRES;;ADMIN PORT;ADMIN PORTUAIRES;
ADP GSI;;ADP GSI;ADP GSI;
AEGON;;AEGON;AEGON;
AG2R - LA MONDIALE;;AG2R LM;AG2R - LA MONDIALE;
AGEFOS PME;;AGEFOS PME;AGEFOS PME;
AGENCE DE L'EAU;;AGENCE EAU;AGENCE DE L'EAU;
AGENCE DE SANTE;;AGCE SANTE;AGENCE DE SANTE;
AGIRC ARRCO;;AGIRCARRCO;AGIRC ARRCO;
AGROSTAR;;AGROSTAR;AGROSTAR;
AIR FRANCE;;AIR FRANCE;AIR FRANCE;
AIR LIQUIDE;;AIR LIQDE;AIR LIQUIDE;
AIRBUS;;AIRBUS;AIRBUS;
ALCATEL LUCENT;;ALCATEL L;ALCATEL LUCENT;
ALLIANCE HEALTHCARE;;ALLIANCE H;ALLIANCE HEALTHCARE;
ALLIANCE HIGHT TECH;;ALLIANCEHT;ALLIANCE HIGHT TECH;
ALLIANZ France;;ALLIANZ FR;ALLIANZ France;
ALSTOM;;ALSTOM;ALSTOM;
ALTEN;;ALTEN;ALTEN;
ALTIA;;ALTIA;ALTIA;
ALTICE;;ALTICE;ALTICE;
AMADEUS;;AMADEUS;AMADEUS;
AMERICAN EXPRESS;;AMEX;AMERICAN EXPRESS;
AMESYS;;AMESYS;AMESYS;
ANDRA;;ANDRA;ANDRA;
ANGDM;;ANGDM;ANGDM;
ANTARES;;ANTARES;ANTARES;
ANTOLIN;;ANTOLIN;ANTOLIN;
AP-HP;;AP-HP;AP-HP;
APAVE;;APAVE;APAVE;
APX SERVICES & TECHN;;APX S&T;APX SERVICES & TECHN;
ARCELORMITTAL;;ARCELORMIT;ARCELORMITTAL;
ARCO GROUP;;ARCO GROUP;ARCO GROUP;
ARDO GROUP;;ARDO GROUP;ARDO GROUP;
AREVA;;AREVA;AREVA;
ARJO;;ARJO;ARJO;
ARKEMA;;ARKEMA;ARKEMA;
ARKOPHARMA;;ARKOPHARMA;ARKOPHARMA;
ARMAND THIERRY;;ARMAND TH;ARMAND THIERRY;
ARS;;ARS;ARS;
ARTE;;ARTE;ARTE;
ASP;;ASP;ASP;
ASTEK;;ASTEK;ASTEK;
ATOS;;ATOS;ATOS;
ATOUT;;ATOUT;ATOUT;
AUBAY;;AUBAY;AUBAY;
AUCHAN;;AUCHAN;AUCHAN;
AUTRES ORGANISMES FI;;AUT ORG FI;AUTRES ORGANISMES FI;
AVIVA;;AVIVA;AVIVA;
AXA;;AXA;AXA;
AXEREAL;;AXEREAL;AXEREAL;
BANKIA;;BANKIA;BANKIA;
BANQUE ACCORD;;ACCORD BQ;BANQUE ACCORD;
BANQUE DE FRANCE;;B.D.F.;BANQUE DE FRANCE;
BARCLAYS BANK;;BARCLAYS ;BARCLAYS BANK;
BAYER;;BAYER;BAYER;
BBVA;;BBVA;BBVA;
BERTIN TECHNOLOGIES;;BERTIN TEC;BERTIN TECHNOLOGIES;
BILLETEL;;BILLETEL;BILLETEL;
BISCUITS BOUVARD;;BOUVARD B;BISCUITS BOUVARD;
BMW FRANCE;;BMW FRANCE;BMW FRANCE;
BNP PARIBAS;;BNPP ;BNP PARIBAS;
BOIRON;;BOIRON;BOIRON;
BONDUELLE;;BONDUELLE;BONDUELLE;
BOUYGUES;;BOUYGUES;BOUYGUES;
BPCE;;BPCE;BPCE;
BPN;;BPN;BPN;
BRGM;;BRGM;BRGM;
BRIDGESTONE;;BRIDGESTON;BRIDGESTONE;
BRITISH PETROLEUM;;B.P.;BRITISH PETROLEUM;
BULL;;BULL;BULL;
BUSINESS OBJECT;;B.O.;BUSINESS OBJECT;
BUSINESS SERVICE;;BUSINESS S;BUSINESS SERVICE;
CAMIF;;CAMIF;CAMIF;
CANDIA;;CANDIA;CANDIA;
CAP GEMINI;;CAP GEMINI;CAP GEMINI;
CARGILL;;CARGILL;CARGILL;
CARREFOUR;;CARREFOUR;CARREFOUR;
CASINO;;CASINO;CASINO;
CASTORAMA;;CASTORAMA;CASTORAMA;
CCAS;;CCAS;CCAS;
CDAD;;CDAD;CDAD;
CDC;;CDC;CDC;
CEA;;CEA;CEA;
CECOSA;;CECOSA;CECOSA;
CEGELEC;;CEGELEC;CEGELEC;
CEGOS SA;;CEGOS SA;CEGOS SA;
CERMEX TECHNOLOGIES;;CERMEX TEC;CERMEX TECHNOLOGIES;
CERNER;;CERNER;CERNER;
CETIAD;;CETIAD;CETIAD;
CGD;;CGD;CGD;
CGI;;CGI;CGI;
CHAINE THERMALE DU S;;CHAINE TH;CHAINE THERMALE DU S;
CHAMBRES DE COMMERCE;;CCI;CHAMBRES DE COMMERCE;
CHANEL;;CHANEL;CHANEL;
CHS;;CHS;CHS;
CIPELIA;;CIPELIA;CIPELIA;
CLEISS;;CLEISS;CLEISS;
CMA - CGM;;CMA - CGM;CMA - CGM;
CNAF;;CNAF;CNAF;
CNAM;;CNAM;CNAM;
CNAV;;CNAV;CNAV;
CNES;;CNES;CNES;
CNIEG;;CNIEG;CNIEG;
CNP ASSURANCE;;CNP ASSUR;CNP ASSURANCE;
CNSA;;CNSA;CNSA;
COFISAM;;COFISAM;COFISAM;
COGITIS;;COGITIS;COGITIS;
COLT;;COLT;COLT;
COMMU DE COMMUNES;;CC COMMUNE;COMMU DE COMMUNES;
COMMUNAUTE D'AGGLO;;COMM AGGLO;COMMUNAUTE D'AGGLO;
COMMUNAUTE URBAINE;;COMMUN URB;COMMUNAUTE URBAINE;
CONFORAMA;;CONFORAMA;CONFORAMA;
CONSEIL GENERAL;;CONSEIL GN;CONSEIL GENERAL;
CONSEIL REGIONAL;;CONSEIL RG;CONSEIL REGIONAL;
CONSORCIO REGIONAL DE TRANSPORTE DE MADRID;;CONSORCIO;CONSORCIO REGIONAL DE TRANSPORTE DE MADRID;
CONVERSE;;CONVERSE;CONVERSE;
COVEA;;COVEA;COVEA;
CREDIT AGRICOLE;;CREDIT AGR;CREDIT AGRICOLE;
CREDIT MUTUEL;;CREDIT MUT;CREDIT MUTUEL;
CROUS;;CROUS;CROUS;
CROWN;;CROWN;CROWN;
CSC COMPUTER;;CSC COMPUT;CSC COMPUTER;
DAHER;;DAHER;DAHER;
DAIMLER BENZ;;DAIMLER BZ;DAIMLER BENZ;
DALLOZ;;DALLOZ;DALLOZ;
DAMART;;DAMART;DAMART;
DANONE;;DANONE;DANONE;
DARTY;;DARTY;DARTY;
DASSAULT;;DASSAULT;DASSAULT;
DCNS;;DCNS;DCNS;
DE DIETRICH;;DEDIETRICH;DE DIETRICH;
DE SIALIS;;DE SIALIS;DE SIALIS;
DECATHLON;;DECATHLON;DECATHLON;
DELPHARM;;DELPHARM;DELPHARM;
DEPARTMENT OF AGRICU;;DEPT AGRIC;DEPARTMENT OF AGRICU;
DEPARTMENT OF DEFENS;;DEPT DEFEN;DEPARTMENT OF DEFENS;
DEPARTMENT OF FINANC;;DEPT FINAN;DEPARTMENT OF FINANC;
DESAUTEL;;DESAUTEL;DESAUTEL;
DEVOTEAM;;DEVOTEAM;DEVOTEAM;
DHL;;DHL;DHL;
DSIS;;DSIS;DSIS;
EDF;;EDF;EDF;
EDS France;;EDS France;EDS France;
EFFIA;;EFFIA;EFFIA;
EL CORTE INGLES;;ELCORTE IN;EL CORTE INGLES;
ELECTROLUX;;ELECTROLUX;ELECTROLUX;
ELIS;;ELIS;ELIS;
ENGIE;;ENGIE;ENGIE;
ENGIE - SUEZ;;ENGIE SUEZ;ENGIE - SUEZ;
ENSEIGNT SUPERIEUR;;ENSEIG SUP;ENSEIGNT SUPERIEUR;
EP;;EP;EP;
EPL;;EPL;EPL;
EPN;;EPN;EPN;
ERAM;;ERAM;ERAM;
ERCA;;ERCA;ERCA;
ERICSSON;;ERICSSON;ERICSSON;
EROSKI;;EROSKI;EROSKI;
ESCOTA;;ESCOTA;ESCOTA;
ESSILOR;;ESSILOR;ESSILOR;
ETAB MEDICO-SOCIAL;;ETS MED-SO;ETAB MEDICO-SOCIAL;
ETABLISSEMT DE SANTE;;ETS SANTE;ETABLISSEMT DE SANTE;
ETABLISST CONSULAIRE;;ETS CONSUL;ETABLISST CONSULAIRE;
EURIAL;;EURIAL;EURIAL;
EURO COMPUTER SYSTEM;;COMPUT STM;EURO COMPUTER SYSTEM;
EUROCLEAR;;EUROCLEAR;EUROCLEAR;
EUROCONTROL;;EUROCONTR;EUROCONTROL;
EUROPCAR;;EUROPCAR;EUROPCAR;
EUSKALTEL;;EUSKALTEL;EUSKALTEL;
EVLOX;;EVLOX;EVLOX;
FACTO FM;;FACTO FM;FACTO FM;
FAFIEC;;FAFIEC;FAFIEC;
FEDERAL MOGUL EUROP;;FED MOGUL;FEDERAL MOGUL EUROP;
FERROVIAL;;FERROVIAL;FERROVIAL;
FINANCIAL INSTITUTIO;;FIN INSTIT;FINANCIAL INSTITUTIO;
FNAC;;FNAC;FNAC;
FORCEMAT;;FORCEMAT;FORCEMAT;
FRANCE AGRIMER;;FR AGRIMER;FRANCE AGRIMER;
FRANCE LOISIRS;;FCE LOISIR;FRANCE LOISIRS;
FRANCE TELEVISIONS;;FR TV;FRANCE TELEVISIONS;
FREUDENBERG EUROP;;FREUDENBER;FREUDENBERG EUROP;
FUND HEALH INSURANCE;;FUND HEALT;FUND HEALH INSURANCE;
GALERIES LAFAYETTE;;GAL LAFAYE;GALERIES LAFAYETTE;
GAMESA;;GAMESA;GAMESA;
GEFCO;;GEFCO;GEFCO;
GEMALTO;;GEMALTO;GEMALTO;
GENERALI France;;GENERALI ;GENERALI France;
GFI Prestations Groupe;;GPE GFI;GFI Prestations Groupe;
GFMI;;GFMI;GFMI;
GIDEC;;GIDEC;GIDEC;
GIE EURO GESTION SAN;;EURO GEST ;GIE EURO GESTION SAN;
GIE INNOVATIONS SANT;;INNOV SANT;GIE INNOVATIONS SANT;
GIE REUNICA;;REUNICA;GIE REUNICA;
GIP;;GIP;GIP;
GKN;;GKN;GKN;
GOODRICH;;GOODRICH;GOODRICH;
GOODYEAR FRANCE;;GOODYEAR ;GOODYEAR FRANCE;
GRIFOLS;;GRIFOLS;GRIFOLS;
GROUP TOYOTA;;GPE TOYOTA;GROUP TOYOTA;
GROUPAMA;;GROUPAMA;GROUPAMA;
GROUPE KIDILIZ;;KIDILIZ;GROUPE KIDILIZ;
GRUPO AXA;;GRUPO AXA;GRUPO AXA;
GRUPO CAIXA;;GRPO CAIXA;GRUPO CAIXA;
GRUPO ENTENCO;;GP ENTENCO;GRUPO ENTENCO;
GRUPO SANTANDER;;SANTANDER;GRUPO SANTANDER;
GRUPO SARRALLE;;SARRALLE;GRUPO SARRALLE;
Groupes à créer;;GP A CRÉER;Groupes à créer;
HACHETTE FRANCE;;HACHETTE ;HACHETTE FRANCE;
HANES;;HANES;HANES;
HCL;;HCL;HCL;
HEADQUATERS ADMINIST;;HEADQ ADM;HEADQUATERS ADMINIST;
HEALTHCARE;;HEALTHCARE;HEALTHCARE;
HERMES;;HERMES;HERMES;
HERTA;;HERTA;HERTA;
HEWLETT PACKARD;;H.P.;HEWLETT PACKARD;
HONEYWELL;;HONEYWELL;HONEYWELL;
HR ACCES SOLUTIONS;;HR  ACCES ;HR ACCES SOLUTIONS;
HSBC France;;HSBC Frce;HSBC France;
HUAWEI;;HUAWEI;HUAWEI;
HUMANIS;;HUMANIS;HUMANIS;
HYGEDIS;;HYGEDIS;HYGEDIS;
IBERDROLA;;IBERDROLA;IBERDROLA;
IBERMATICA;;IBERMATICA;IBERMATICA;
IBM;;IBM;IBM;
ICADE;;ICADE;ICADE;
IKEA;;IKEA;IKEA;
INDEPENDENT CUSTOMER;;INDEP CUST;INDEPENDENT CUSTOMER;
INDITEX;;INDITEX;INDITEX;
INDRA;;INDRA;INDRA;
INGREDIA;;INGREDIA;INGREDIA;
INSURANCES AND RETIR;;INSUR & R;INSURANCES AND RETIR;
INTERGROS;;INTERGROS;INTERGROS;
INTERMARCHE;;INTERMARCH;INTERMARCHE;
INVIVO;;INVIVO;INVIVO;
ISES - INTERCOOP SUD;;INTERCOOP;ISES - INTERCOOP SUD;
IVECO;;IVECO;IVECO;
JANE;;JANE;JANE;
JC DECAUX;;JC DECAUX;JC DECAUX;
JET SERV LOGISTICS;;JET LOGIST;JET SERV LOGISTICS;
KANTAR;;KANTAR;KANTAR;
KIDILIZ;;KIDILIZ;KIDILIZ;
KILOUTOU;;KILOUTOU;KILOUTOU;
KP1;;KP1;KP1;
