"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"101100";"CAPITAL SOUSCRIT NON APPELE";"10110000";"CAPITAL SOUSCRIT NON APPELE";
"101300";"CAPITAL SOUSCRIT APPELE VERSE";"10130000";"CAPITAL SOUSCRIT APPELE VERSE";
"104100";"PRIMES EMISSIONS";"10410000";"PRIMES EMISSIONS";
"104200";"PRIMES DE FUSIONS";"10420000";"PRIMES DE FUSIONS";
"104300";"PRIMES D'APPORT";"10430000";"PRIMES D'APPORT";
"104400";"PRIMES CONVERSION OBLIGATION";"10440000";"PRIMES CONVERSION OBLIGATION";
"104500";"BON DE SOUSCRIPTION D'ACTIONS";"10450000";"BON DE SOUSCRIPTION D'ACTIONS";
"106110";"RESERVE LEGALE";"10611000";"RESERVE LEGALE";
"106400";"RESERVE REGLEMENTEE";"10640000";"RESERVE REGLEMENTEE";
"106410";"RESERVE REGLEMENTEE PVLT";"10641000";"RESERVE REGLEMENTEE PVLT";
"106800";"RESERVE FACULTATIVES";"10680000";"RESERVE FACULTATIVES";
"106880";"AUTRES RESERVES";"10688000";"AUTRES RESERVES";
"109000";"ACTIONN. CAP SOUSC NON APPELE";"10900000";"ACTIONN. CAP SOUSC NON APPELE";
"110000";"REP A NOUVEAU CREDITEUR";"11000000";"REP A NOUVEAU CREDITEUR";
"119000";"REP A NOUVEAU DEBITEUR";"11900000";"REP A NOUVEAU DEBITEUR";
"120000";"RESULTAT EXERCICE (BENEF.)";"12000000";"RESULTAT EXERCICE (BENEF.)";
"129000";"RESULTAT DE L'EXERCICE (PERTE)";"12900000";"RESULTAT DE L'EXERCICE (PERTE)";
"142400";"PROV INVESTISST /PARTICIPATION";"14240000";"PROV INVESTISST /PARTICIPATION";
"145000";"AMORTISSEMENTS DEROGATOIRES";"14500000";"AMORTISSEMENTS DEROGATOIRES";
"151100";"PROV. LITIGE PERSONNEL";"15110000";"PROV. LITIGE PERSONNEL";
