Pays;Code2;Code3;Numero;Intracommunautaire;Dependance_code2;
ALLEMAGNE;DE;DEU;276;1;;
AUTRICHE;AT;AUT;40;1;;
BELGIQUE;BE;BEL;56;1;;
BULGARIE;BG;BGR;100;1;;
CHYPRE;CY;CYP;196;1;;
CROATIE;HR;HRV;191;1;;
DANEMARK;DK;DNK;208;1;;
ESPAGNE;ES;ESP;724;1;;
ESTONIE;EE;EST;233;1;;
FINLANDE;FI;FIN;246;1;;
FRANCE;FR;FRA;250;1;FR;
GRÈCE;GR;GRC;300;1;;
HONGRIE;HU;HUN;348;1;;
IRLANDE;IE;IRL;372;1;;
ITALIE;IT;ITA;380;1;;
LETTONIE;LV;LVA;428;1;;
LITUANIE;LT;LTU;440;1;;
MALTE;MT;MLT;470;1;;
LUXEMBOURG;LU;LUX;442;;;
PAYS-BAS;NL;NLD;528;1;;
POLOGNE;PL;POL;616;1;;
PORTUGAL;PT;PRT;620;1;;
REPUBLIQUE TCHÈQUE;CZ;CZE;203;1;;
ROUMANIE;RO;ROM;642;1;;
ROYAUME UNI;GB;GBR;826;0;;
SLOVAQUIE;SK;SVK;703;1;;
SLOVÉNIE;SI;SVN;705;1;;
SUÈDE;SE;SWE;752;1;;
St Barthelemy;BL;BLM;652;0;FR;
French Guayana;GF;GUF;254;0;FR;
Guadeloupe;GP;GLP;312;0;FR;
Saint Martin;MF;MAF;663;0;FR;
Martinique;MQ;MTQ;474;0;FR;
Frenc.Polynesia;PF;PYF;258;0;FR;
TERRES AUSTRALES FRANÇAISES;TF;ATF;260;0;FR;
Wallis,Futuna;WF;WLF;876;0;FR;
Mayotte;YT;MYT;175;0;FR;
Reunion;RE;REU;638;0;FR;
