NUMCLIENT;NUMSITE;SOC;SIRET;DUNS;CUF4;CUF5;
22505;30513-C;100;02718015700011;260102264;C-22505-30513-C;C-22505-30513-C;
22505;30512-C;100;02718015700011;260102264;C-22505-30513-C;C-22505-30513-C;
7343;23635-C;100;08558048800071;383631157;C-7343-23635-C;C-7343-23635-C;
7343;57707;410;08558048800071;383631157;C-7343-23635-C;C-7343-57707;
7343;8707-C;437;08558048800071;383631157;C-7343-23635-C;C-7343-8707-C;
4052;22199-C;100;11001401600015;579004870;C-4052-22199-C;C-4052-22199-C;
4052;5303-C;100;11001401600015;579004870;C-4052-22199-C;C-4052-22199-C;
4052;57741;100;11001401600015;579004870;C-4052-22199-C;C-4052-22199-C;
4052;35367-C;100;11001401600015;579004870;C-4052-22199-C;C-4052-22199-C;
4052;57741;410;11001401600015;579004870;C-4052-22199-C;C-4052-57741;
4052;68085;410;11001401600015;579004870;C-4052-22199-C;C-4052-57741;
3051;24518-C;100;72300146700049;277562534;C-3051-24518-C;C-3051-24518-C;
3051;24518-C;410;72300146700049;;C-3051-24518-C;C-3051-24518-C;
3051;26385-C;437;72300146700049;277562534;C-3051-24518-C;C-3051-26385-C;
3436;26299-C;100;38354776700020;575641683;C-3436-26299-C;C-3436-26299-C;
3436;26299-C;410;38354776700020;575641683;C-3436-26299-C;C-3436-26299-C;
3436;4637-C;437;38354776700020;575641683;C-3436-26299-C;C-3436-4637-C;
3725;4958-C;100;55212022225044;505719224;C-3725-4958-C;C-3725-4958-C;
3725;32740-C;100;55212022225044;505719224;C-3725-4958-C;C-3725-4958-C;
3725;52838;100;55212022225044;505719224;C-3725-4958-C;C-3725-4958-C;
3725;45179;100;55212022225044;505719224;C-3725-4958-C;C-3725-4958-C;
3725;57890;410;55212022225044;505719224;C-3725-4958-C;C-3725-57890;
3725;28272-C;415;55212022225044;505719224;C-3725-4958-C;C-3725-28272-C;
3725;32563-C;415;55212022225044;505719224;C-3725-4958-C;C-3725-28272-C;
3725;11054-C;437;55212022225044;505719224;C-3725-4958-C;C-3725-11054-C;
3725;28497-C;437;55212022225044;505719224;C-3725-4958-C;C-3725-11054-C;
4324;22257-C;100;84478947900012;271959274;C-4324-22257-C;C-4324-22257-C;
4324;33915-C;410;84478947900012;271959274;C-4324-22257-C;C-4324-33915-C;
4324;22262-C;504;84478947900012;271959274;C-4324-22257-C;C-4324-22262-C;
4324;28283-C;415;84478947900012;271959274;C-4324-22257-C;C-4324-28283-C;
4324;22261-C;437;84478947900012;271959274;C-4324-22257-C;C-4324-22261-C;
55731;67925;100;81506388800029;267683669;C-55731-67925;C-55731-67925;
55731;58483;504;81506388800029;267683669;C-55731-67925;C-55731-58483;
57002;62148;985;81506388800029;267683669;C-55731-67925;C-57002-62148;
18340;23431-C;100;;260671884;HP;HP;
20801;67372;100;;502918428;HP;HP;
24905;33279-C;100;41201392200056;269653786;HP;HP;
25637;34193-C;100;52419168100021;264699390;HP;HP;
3799;5037-C;100;33896638500472;293736141;HP;HP;
3812;22329-C;415;;347265308;HP;HP;
3812;22329-C;504;38755471000054;347265308;HP;HP;
3812;22546-C;410;38755471000054;347265308;HP;HP;
3812;5051-C;100;38755471000054;347265308;HP;HP;
4169;22542-C;100;42828649600156;647889323;HP;HP;
50113;48607;100;50170729300103;267428906;HP;HP;
50115;67975;410;53483619200011;263469682;HP;HP;
52713;48942;100;45157129300021;269654121;HP;HP;
55702;58347;100;53471378900046;263450578;HP;HP;
55702;58347;505;;263450578;HP;HP;
56665;61013;100;49303660200073;291200090;HP;HP;
